iter	Logloss
0	0.683102303
1	0.6733762352
2	0.6644979545
3	0.6553914434
4	0.6463933816
5	0.6380276654
6	0.6294570328
7	0.6211590031
8	0.613535879
9	0.6057678254
10	0.5981133692
11	0.5907216044
12	0.5839469332
13	0.577368295
14	0.570969025
15	0.5645333859
16	0.5584676374
17	0.5522749776
18	0.5462408424
19	0.5404144859
20	0.5347543984
21	0.5292075089
22	0.5240984926
23	0.5188686523
24	0.5138406218
25	0.5089640594
26	0.5041570106
27	0.4995280505
28	0.4952140871
29	0.4908708219
30	0.4866575932
31	0.4825048837
32	0.4786158198
33	0.4749748204
34	0.4711382282
35	0.4675045773
36	0.4640322544
37	0.4605753572
38	0.457267994
39	0.4542020938
40	0.4509904171
41	0.4478638683
42	0.4448106052
43	0.4420001662
44	0.4391881037
45	0.4364363939
46	0.433935859
47	0.4313084793
48	0.4289045887
49	0.4266021837
50	0.4241767578
51	0.4219185625
52	0.4197743862
53	0.4175162241
54	0.4153295356
55	0.4131836396
56	0.4110986364
57	0.4090655279
58	0.4071177987
59	0.4052115758
60	0.4034745138
61	0.4017786806
62	0.4001302747
63	0.3985789902
64	0.3970479872
65	0.3953933718
66	0.3939215567
67	0.3924541242
68	0.3909354144
69	0.3895903296
70	0.3881480751
71	0.3868239967
72	0.385438112
73	0.3841287047
74	0.3827991454
75	0.3816097115
76	0.3803662231
77	0.3791515408
78	0.3779120502
79	0.3768684705
80	0.3757421632
81	0.3747298972
82	0.3736711692
83	0.372716926
84	0.3717971142
85	0.3707710017
86	0.3697730296
87	0.3688274516
88	0.3679686398
89	0.3669964154
90	0.366118021
91	0.3653082082
92	0.3644798853
93	0.3636508042
94	0.3628301775
95	0.3621043312
96	0.3613348929
97	0.3606387885
98	0.3598939107
99	0.3592008056
100	0.3585059697
101	0.3578064333
102	0.3572124764
103	0.3566055457
104	0.3559631852
105	0.3552866227
106	0.3546110884
107	0.3540973331
108	0.3535515837
109	0.35300015
110	0.3524982923
111	0.3518799523
112	0.3513840452
113	0.3509079942
114	0.3504400463
115	0.3498832612
116	0.349426582
117	0.3489382712
118	0.3485087229
119	0.3480572436
120	0.3476510613
121	0.3471343215
122	0.3466917884
123	0.3462723846
124	0.3459309265
125	0.3455853965
126	0.3451416319
127	0.3447901846
128	0.3444389778
129	0.3440187122
130	0.3436317648
131	0.3432342033
132	0.342850344
133	0.3426405459
134	0.3422590794
135	0.3419038747
136	0.3415990188
137	0.3413297148
138	0.3410696049
139	0.3407246075
140	0.3403846287
141	0.3400466396
142	0.3397703532
143	0.3394470575
144	0.3391316615
145	0.3388417024
146	0.3385170088
147	0.3382817663
148	0.3381013439
149	0.3378549215
150	0.3376157551
151	0.3373254817
152	0.3371135534
153	0.336891181
154	0.3366633093
155	0.3364089428
156	0.3361348569
157	0.3358906904
158	0.3356342418
159	0.3354413857
160	0.3352189579
161	0.3350682774
162	0.3348775923
163	0.3346732788
164	0.3345336119
165	0.3343561408
166	0.3341931079
167	0.3339985469
168	0.333844194
169	0.3336229793
170	0.3334178596
171	0.3332411577
172	0.3330467817
173	0.3328484964
174	0.3326779967
175	0.3324802182
176	0.3323084499
177	0.3321230015
178	0.332014811
179	0.3318509719
180	0.3317266197
181	0.3315794563
182	0.3314486802
183	0.3312701403
184	0.3311126549
185	0.3309467632
186	0.3307820698
187	0.3306352356
188	0.3305139715
189	0.3303616453
190	0.3302349595
191	0.3300771043
192	0.3299439649
193	0.3298193575
194	0.3297015773
195	0.3295867446
196	0.3294992165
197	0.3293716505
198	0.3292380599
199	0.3291415265
200	0.3290534289
201	0.3289224974
202	0.3288132381
203	0.3287203845
204	0.3286138619
205	0.3285186524
206	0.3284245525
207	0.3283356154
208	0.328218327
209	0.3281044596
210	0.3279955774
211	0.3279098875
212	0.3277917632
213	0.3277052301
214	0.3276021654
215	0.3275286392
216	0.3274376976
217	0.3273741087
218	0.3273028385
219	0.3272175072
220	0.3271375608
221	0.327052947
222	0.3269494533
223	0.3268767999
224	0.326804091
225	0.3267059562
226	0.3266504667
227	0.3265613779
228	0.3264902112
229	0.3264021876
230	0.3263269935
231	0.3262492031
232	0.3261857548
233	0.3261249619
234	0.3260469644
235	0.3259612115
236	0.3259076303
237	0.3258382647
238	0.3257545866
239	0.3256890636
240	0.3256310888
241	0.3255565788
242	0.3255080125
243	0.3254352407
244	0.3253585599
245	0.3252945568
246	0.325245972
247	0.3251957526
248	0.3251286615
249	0.3250558934
250	0.3249990429
251	0.3249479248
252	0.3248971099
253	0.3248370751
254	0.3247835864
255	0.3247148754
256	0.3246428544
257	0.3245810962
258	0.3245360988
259	0.3244946037
260	0.3244350608
261	0.3243880626
262	0.3243326101
263	0.3242692616
264	0.3242269455
265	0.3241677465
266	0.324118485
267	0.3240663498
268	0.3240196881
269	0.3239777455
270	0.3239299152
271	0.3238703834
272	0.3238261146
273	0.3237785173
274	0.3237421074
275	0.3236933857
276	0.3236612954
277	0.3236263168
278	0.3235746402
279	0.3235188881
280	0.3234787577
281	0.3234314377
282	0.323389521
283	0.3233463765
284	0.3233103881
285	0.3232678094
286	0.3232145426
287	0.3231781364
288	0.323140003
289	0.3230933821
290	0.3230584256
291	0.3230308916
292	0.3229931059
293	0.322960631
294	0.3229139509
295	0.3228807622
296	0.3228371332
297	0.3227994288
298	0.322764121
299	0.3227360434
300	0.3227067379
301	0.3226660675
302	0.3226405788
303	0.3225926338
304	0.3225688055
305	0.3225394409
306	0.3225128611
307	0.3224815993
308	0.3224494646
309	0.3224161945
310	0.3223868114
311	0.3223595104
312	0.3223182188
313	0.322286539
314	0.3222641383
315	0.322231974
316	0.3222103611
317	0.3221678378
318	0.3221409548
319	0.3221118268
320	0.3220888418
321	0.3220510228
322	0.3220262108
323	0.3219845456
324	0.3219523739
325	0.321918257
326	0.3218859078
327	0.3218601749
328	0.3218351558
329	0.32179997
330	0.3217614595
331	0.3217348686
332	0.3217147165
333	0.3216866684
334	0.3216614089
335	0.321628886
336	0.3216103981
337	0.3215859855
338	0.3215623163
339	0.3215240202
340	0.3215036499
341	0.3214827581
342	0.3214473763
343	0.3214260222
344	0.3213896715
345	0.321367685
346	0.3213442303
347	0.3213164855
348	0.3212954273
349	0.321258666
350	0.3212255143
351	0.3212021114
352	0.3211844334
353	0.3211618811
354	0.3211373317
355	0.321112013
356	0.3210778073
357	0.3210548334
358	0.3210298549
359	0.321002247
360	0.3209836149
361	0.3209596461
362	0.3209386582
363	0.3209140644
364	0.3208949367
365	0.3208781426
366	0.3208603463
367	0.3208385226
368	0.3208165657
369	0.3207996348
370	0.3207773931
371	0.3207558874
372	0.3207359017
373	0.3207210936
374	0.3206908081
375	0.3206680487
376	0.3206446716
377	0.3206194158
378	0.3206028141
379	0.3205854283
380	0.3205594033
381	0.3205433378
382	0.3205157409
383	0.3204991355
384	0.320482752
385	0.3204625518
386	0.3204379062
387	0.3204078537
388	0.3203867437
389	0.320369835
390	0.3203530335
391	0.3203374636
392	0.3203180956
393	0.3202966712
394	0.3202737527
395	0.3202477832
396	0.3202324093
397	0.320215508
398	0.3201950933
399	0.3201755809
400	0.3201598816
401	0.3201417229
402	0.3201201765
403	0.3201026243
404	0.3200865477
405	0.3200651012
406	0.3200402448
407	0.3200182879
408	0.3199974405
409	0.3199839527
410	0.3199698325
411	0.3199562079
412	0.319935257
413	0.319914735
414	0.3198986695
415	0.3198867055
416	0.3198712983
417	0.3198508836
418	0.3198259939
419	0.3198127503
420	0.3197977018
421	0.3197821541
422	0.3197666212
423	0.3197436731
424	0.3197234729
425	0.3197092788
426	0.3196887162
427	0.3196701802
428	0.319656796
429	0.3196439628
430	0.3196272723
431	0.3196090248
432	0.3195921864
433	0.3195744937
434	0.3195601553
435	0.319545865
436	0.3195262602
437	0.3195121105
438	0.3194941773
439	0.3194844434
440	0.3194743877
441	0.3194562696
442	0.3194432109
443	0.3194292127
444	0.319413776
445	0.3193994043
446	0.3193937052
447	0.3193753172
448	0.3193567627
