iter	Passed	Remaining
400	16394	106260
401	16435	106219
402	16474	106165
403	16518	106143
404	16556	106082
405	16588	105986
406	16627	105934
407	16666	105879
408	16708	105849
409	16743	105772
410	16780	105704
411	16815	105629
412	16859	105604
413	16893	105524
414	16930	105459
415	16966	105388
416	17001	105314
417	17044	105286
418	17082	105225
419	17116	105144
420	17151	105069
421	17195	105046
422	17230	104973
423	17266	104899
424	17299	104816
425	17338	104762
426	17376	104708
427	17409	104617
428	17444	104545
429	17480	104477
430	17524	104456
431	17561	104392
432	17597	104327
433	17634	104262
434	17683	104273
435	17720	104208
436	17756	104139
437	17792	104076
438	17833	104035
439	17877	104015
440	17912	103938
441	17947	103866
442	17983	103799
443	18027	103781
444	18062	103705
445	18097	103635
446	18123	103509
447	18160	103450
448	18199	103398
449	18234	103329
450	18267	103248
451	18306	103195
452	18364	103257
453	18425	103331
454	18483	103385
455	18564	103571
456	18629	103664
457	18693	103754
458	18745	103774
459	18783	103717
460	18822	103665
461	18865	103638
462	18905	103591
463	18930	103462
464	18962	103376
465	19008	103363
466	19043	103290
467	19078	103219
468	19114	103152
469	19159	103132
470	19195	103069
471	19229	102994
472	19263	102916
473	19304	102876
474	19345	102839
475	19381	102771
476	19419	102717
477	19458	102666
478	19498	102620
479	19537	102569
480	19572	102501
481	19607	102432
482	19652	102414
483	19676	102282
484	19711	102213
485	19746	102144
486	19784	102089
487	19826	102057
488	19861	101990
489	19895	101915
490	19929	101841
491	19960	101750
492	19998	101693
493	20041	101666
494	20078	101611
495	20114	101543
496	20149	101475
497	20192	101451
498	20229	101393
499	20266	101334
500	20302	101267
501	20346	101246
502	20381	101176
503	20414	101100
504	20449	101031
505	20489	100990
506	20529	100947
507	20571	100912
508	20606	100846
509	20642	100786
510	20682	100740
511	20726	100716
512	20762	100655
513	20796	100582
514	20830	100511
515	20868	100457
516	20908	100419
517	20941	100339
518	20975	100272
519	21012	100213
520	21054	100179
521	21091	100124
522	21126	100059
523	21162	99995
524	21205	99966
525	21241	99908
526	21276	99842
527	21312	99779
528	21347	99716
529	21388	99679
530	21423	99615
531	21458	99550
532	21494	99486
533	21539	99467
534	21580	99433
535	21617	99374
536	21653	99314
537	21690	99261
538	21732	99228
539	21773	99191
540	21809	99128
541	21845	99068
542	21880	99007
543	21924	98984
544	21959	98917
545	21995	98859
546	22031	98797
547	22070	98754
548	22106	98693
549	22140	98626
550	22176	98565
551	22220	98542
552	22254	98476
553	22290	98418
554	22324	98349
555	22359	98286
556	22404	98264
557	22437	98196
558	22469	98117
559	22504	98054
560	22541	98002
561	22585	97977
562	22621	97921
563	22656	97855
564	22693	97800
565	22738	97784
566	22771	97711
567	22805	97644
568	22839	97577
569	22877	97529
570	22917	97490
571	22953	97431
572	22989	97373
573	23026	97322
574	23069	97293
575	23104	97232
576	23137	97159
577	23172	97099
578	23216	97075
579	23250	97011
580	23286	96951
581	23319	96883
582	23358	96838
583	23399	96803
584	23434	96744
585	23471	96691
586	23507	96634
587	23553	96615
588	23590	96564
589	23626	96506
590	23659	96439
591	23702	96412
592	23736	96348
593	23772	96292
594	23803	96215
595	23838	96153
596	23884	96138
597	23919	96079
598	23955	96020
599	23995	95981
600	24033	95932
601	24067	95868
602	24103	95812
603	24136	95747
